Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,"School enrollment, primary (% gross)",SE.PRM.ENRR,22.16299057,22.90859032,75.95974731,96.55368042,106.2526627,100.2296906,103.9322433,101.0864563,103.4139633,99.36972046,102.9034424,100.2902985,106.2834015,107.6959763,109.1155167,106.1824188,106.1502838,106.1299973,107.7805328,110.0075073,..,..
Afghanistan,AFG,"School enrollment, primary (% net)",SE.PRM.NENR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,14.47150993,..,14.07804966,19.26313972,20.31196022,29.69135094,29.08917046,39.09003067,44.39717102,50.41368866,52.19842911,54.20639038,54.75421906,54.23548126,53.28514099,53.50634003,55.4021492,57.03929901,..,..,..
Afghanistan,AFG,"School enrollment, secondary (% net)",SE.SEC.NENR,..,..,..,..,..,..,..,26.55995,..,..,..,..,..,46.1909,46.0584,45.43273,46.6585,48.44288,50.1407,..,..,..
Afghanistan,AFG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,4.684760571,4.174895287,4.383672237,4.810639858,3.479449987,3.462009907,2.604199886,3.454459906,3.695219994,3.255800009,4.543970108,4.343190193,..,..,..,..
Afghanistan,AFG,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,..,..,..,..,..,..,14.55921173,10.8146925,4.86058569,6.492490292,6.395579815,5.146921635,6.489447594,7.13206768,7.964570045,7.284904957,8.260235786,8.202471733,..,..,..,..
Afghanistan,AFG,"Population, total",SP.POP.TOTL,20130327,20284307,21378117,22733049,23560654,24404567,25424094,25909852,26482622,27466101,28284089,29347708,30560034,31622704,32792523,33831764,34700612,35688935,36743039,37856121,39068979,40000412
Afghanistan,AFG,Urban population,SP.URB.TOTL,4444374,4496828,4758983,5081518,5301147,5540569,5823897,5988544,6175747,6462224,6713794,7028189,7383304,7707402,8062698,8391292,8682093,9011456,9367638,9749465,10168092,10525708
Afghanistan,AFG,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.935,7.953,7.93,7.88,7.899,7.885,7.914,7.817,7.878,7.754,7.753,7.784,7.856,7.93,7.915,9.052,10.133,11.184,11.196,11.185,11.71,11.994
Afghanistan,AFG,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,10.235,10.254,10.234,10.189,10.2,10.181,10.197,10.098,10.135,10.008,9.99,10.003,10.054,10.112,10.094,12.55,14.947,17.31,16.394,15.496,16.053,16.395
Albania,ALB,Gini index,SI.POV.GINI,..,..,31.7,..,..,30.6,..,..,30,..,..,..,29,..,34.6,32.8,33.7,33.1,30.1,30.1,29.4,..
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,3480355258,3922100794,4348068242,5611496257,7184685782,8052077248,8896075005,10677324853,12881352894,12044205550,11926926616,12890760315,12319834195,12776224497,13228147516,11386853113,11861199831,13019726212,15379509892,15585105131,15241458745,18032010564
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.946216592,8.293312631,4.53652416,5.528637465,5.514667911,5.526424247,5.902659036,5.983259519,7.50004143,3.35428935,3.706938153,2.545406145,1.4172428,1.002017541,1.774448853,2.218726375,3.314980684,3.80259872,4.019345617,2.06256754,-3.313716147,8.969553392
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,1126.68334,1281.659826,1425.124219,1846.120121,2373.581292,2673.787816,2972.743621,3595.038295,4370.539716,4114.134033,4094.349686,4437.141161,4247.631343,4413.063383,4578.633208,3952.803574,4124.05539,4531.032207,5365.489347,5460.428237,5370.778623,6413.283286
Albania,ALB,GNI (current US$),NY.GNP.MKTP.CD,3585007222,4048094111,4457186384,5762066193,7353974653,8214108577,9158294214,10975296959,12946373404,11852736925,11807769437,12894099799,12228069196,12996543353,13349419700,11521811394,12053832974,13051517644,15361070727,15383523592,14991229142,17780838455
Albania,ALB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1100,1280,1370,1650,2100,2620,3050,3460,4040,4280,4360,4410,4360,4540,4540,4390,4320,4290,4880,5280,5320,6150
Albania,ALB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,20.11528555,21.33341083,20.94561617,20.84738645,22.21756076,23.01299115,25.20960773,28.24786542,25.30241812,25.24074861,27.97943524,29.24153714,28.93748776,28.91631514,28.21300146,27.26739115,28.97789918,31.56979831,31.11401039,30.93613535,22.54075856,31.13302001
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.404,75.639,75.89,76.142,76.376,76.621,76.816,77.549,77.653,77.781,77.936,78.092,78.064,78.123,78.407,78.644,78.86,79.047,79.184,79.282,76.989,76.463
Albania,ALB,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,24,22.9,21.6,20.4,19.1,17.8,16.5,15.3,14.1,12.9,11.9,10.8,10,9.3,8.8,8.5,8.4,8.3,8.3,8.3,8.4,8.4
Albania,ALB,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,27.1,25.8,24.3,22.9,21.4,20,18.5,17.1,15.8,14.5,13.3,12.2,11.2,10.5,9.9,9.6,9.4,9.3,9.3,9.4,9.4,9.5
Albania,ALB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.94419765,5.92584515,5.66464472,5.91140795,5.89364862,5.72954512,5.63177013,5.92609119,5.50900269,5.82603931,6.23667669,6.18297672,6.15746212,6.28286266,6.43451118,6.46411896,6.7293272,6.57848787,6.66844559,6.86214113,7.51920271,7.26731825
Albania,ALB,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,1.359,1.3,1.17,1.196,1.208,..,1.207,1.218,..,1.248,1.249,1.234,1.278,1.285,..,..,1.219,..,..,1.651,1.883,..
Albania,ALB,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,86.39704395,86.90406849,87.45163572,87.98719672,88.51058126,89.02118584,89.519135,90.00419038,90.47614984,90.93440962,91.37947961,91.81088856,92.22877853,92.63159606,93.02005806,93.39432397,93.75487791,94.1020962,94.43639343,94.75822472,95.06803881,95.08151344
Albania,ALB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,99,..,..,..,..,..,..,96,..,..,97,97,..,..,..,..,98.81623077,..,..,..,..
Albania,ALB,"School enrollment, primary (% gross)",SE.PRM.ENRR,..,..,110.3389206,107.598259,104.1317215,107.0161438,105.4777832,103.4884415,100.3830032,100.9237366,99.86183167,101.5802689,102.0673599,101.4749527,105.7705765,105.688652,105.3247833,105.4149704,104.5680237,102.5895386,100.0209732,97.10749817
Albania,ALB,"School enrollment, primary (% net)",SE.PRM.NENR,95.38335,93.86551,..,91.69871,90.92345,..,..,..,86.78701,85.34118,85.95611,86.99052,89.53195,91.90565,93.78369,94.17835,94.05692,95.53947,94.52966,..,..,..
Albania,ALB,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,74.53891754,77.75182343,78.98018646,82.97142792,84.32576752,86.21885681,87.83383942,89.3157196,93.68182373,95.47052765,97.60807037,102.9032135,103.3213806,102.4407272,99.17076111,97.57437134,98.8223877,99.01515198,95.92945099,97.66503143
Albania,ALB,"School enrollment, secondary (% net)",SE.SEC.NENR,66.69051,68.41048,..,..,..,..,..,..,..,..,..,..,..,84.39599,86.39145,87.38842,86.48091,86.6726,86.60827,..,..,..
Albania,ALB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.430170059,3.458699942,3.117799997,3.138230085,3.227519989,3.281549931,3.191459894,3.275929928,3.509226084,..,3.41307497,3.240008354,3.30906105,3.539299965,3.216967106,3.437969923,3.962090015,3.611720085,3.152944803,3.916239977,3.342299938,3.022559881
Albania,ALB,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,..,..,..,..,..,11.3716507,10.7679863,11.07501793,10.79070854,..,11.48573399,11.10684299,11.62699509,11.58003235,10.98846054,10.44102383,10.82978725,10.57019043,10.97069645,11.40017986,10.1343832,9.833778381
Albania,ALB,"Population, total",SP.POP.TOTL,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837849,2811666
Albania,ALB,Urban population,SP.URB.TOTL,1289391,1298584,1327220,1354848,1381828,1407298,1430886,1452398,1473392,1495260,1519519,1546929,1575788,1603505,1630119,1654503,1680247,1706345,1728969,1747593,1762645,1770478
Albania,ALB,Income share held by highest 10%,SI.DST.10TH.10,..,..,25.3,..,..,24.3,..,..,24.4,..,..,..,22.9,..,25.5,24.8,25,24.6,22.7,23.6,22.8,..
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,19.023,18.57,17.891,16.985,16.306,15.966,15.626,15.966,13.06,13.674,14.086,13.481,13.376,15.866,18.055,17.193,15.418,13.616,12.304,11.466,11.69,11.474
Albania,ALB,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,30.555,29.859,28.769,27.512,26.6,26.242,25.877,26.645,26.605,27.357,30.867,22.697,28.871,31.207,39.554,39.628,35.918,31.184,28.109,26.942,28.117,27.244
Algeria,DZA,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,27.6,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,54790398570,59413400924,61516103406,73482264191,91913680985,1.07047E+11,1.23084E+11,1.42483E+11,1.80384E+11,1.50317E+11,1.77785E+11,2.18332E+11,2.27144E+11,2.29701E+11,2.38943E+11,1.87494E+11,1.80764E+11,1.89881E+11,1.94554E+11,1.9346E+11,1.64873E+11,1.86231E+11
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.800000001,2.999999999,5.4,6.5,4.5,5.4,2.9,3.1,2.5,1.2,4.8,3,2.4,2.6,4.1,3.2,3.9,1.5,1.4,0.9,-5,3.8
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,1772.928691,1896.300209,1937.464114,2283.772993,2816.99385,3233.133396,3660.661047,4167.451699,5180.918815,4235.429905,4912.785855,5916.313644,6033.648847,5979.60139,6094.693923,4685.059027,4424.98529,4554.66754,4577.210292,4468.453419,3743.541952,4160.559267
Algeria,DZA,GNI (current US$),NY.GNP.MKTP.CD,52080377793,57817856450,59323635606,71027324448,88398583970,1.0246E+11,1.18661E+11,1.40762E+11,1.79148E+11,1.49162E+11,1.77703E+11,2.16589E+11,2.24964E+11,2.25944E+11,2.34461E+11,1.83649E+11,1.79594E+11,1.87682E+11,1.9039E+11,1.89549E+11,1.62137E+11,1.82588E+11
Algeria,DZA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1600,1720,1840,2090,2440,2910,3310,3780,4430,4570,4870,5050,5630,5970,6030,5390,4920,4440,4450,4480,4020,4120
Algeria,DZA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,42.06971772,34.1212314,33.1371641,35.66906353,38.39295946,44.3712829,45.76413427,44.72015567,45.64718181,32.58600627,34.98822961,35.98808641,34.382792,30.79936493,27.61948637,20.52814168,18.48668797,20.33367952,23.42310574,20.40794195,15.53520111,23.44436729
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.478,70.823,71.23,71.287,71.762,72.061,72.334,72.602,72.941,73.62,73.808,74.123,74.202,74.615,75.11,75.622,75.732,75.743,76.066,76.474,74.453,76.377
Algeria,DZA,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,35.6,34.3,33,31.6,30.3,29,27.8,26.6,25.6,24.7,23.9,23.3,22.8,22.4,22,21.7,21.4,21,20.6,20.1,19.7,19.2
Algeria,DZA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,41.7,40.1,38.5,36.9,35.3,33.8,32.3,31,29.8,28.7,27.8,27.1,26.5,26,25.7,25.3,24.9,24.5,24,23.5,22.9,22.3
Algeria,DZA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,3.48903275,3.83787704,3.7300415,3.60104108,3.5440731,3.23516107,3.35510349,3.82141757,4.20188284,5.35939837,5.11716986,5.26748085,6.00050974,6.03576279,6.54721403,6.96321011,6.58904791,6.53307724,6.38729763,5.86751413,6.14268684,5.5283432
Algeria,DZA,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,..,..,1.118,..,..,1.03,..,1.202,..,..,..,..,..,..,..,..,1.842,..,1.732,0.987,..,..
Algeria,DZA,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,89.84882858,90.1134478,90.37380433,90.62972248,90.88125472,91.12825339,91.37095553,91.60923199,91.84330874,92.07203497,92.29597346,92.51498929,92.7451847,92.97088115,93.19234678,93.40955765,93.62277554,93.83197493,94.03741493,94.23913986,94.43732997,94.63210204
Algeria,DZA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,70,..,..,..,73,..,75,..,..,..,..,..,..,..,..,..,81.40783691,..,..,..
Algeria,DZA,"School enrollment, primary (% gross)",SE.PRM.ENRR,109.7766495,108.8155594,110.4312668,111.2080536,111.6782303,112.2025223,111.9301682,112.4719315,111.0736008,112.9482727,113.3779526,112.3881607,111.7055588,112.2494888,111.6866989,110.8422699,110.6881027,109.8377075,108.7034836,107.7751312,110.3305664,106.9955673
Algeria,DZA,"School enrollment, primary (% net)",SE.PRM.NENR,89.39816,91.25702,92.17384,92.40589,92.86403,93.09766,93.20169,95.24939,96.36304,97.44184,97.23353,97.5945,97.31376,..,..,97.54838,97.5908,97.5883,97.63517,..,..,..
Algeria,DZA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,64.91104889,69.07556915,72.8870697,75.75093842,79.90052795,82.03775024,83.60420227,73.5201416,80.21128082,96.51100922,100.7091217,103.1164703,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"School enrollment, secondary (% net)",SE.SEC.NENR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,4.111420155,..,..,..,7.029509068,6.659060478,6.54889822,6.17633009,6.502108574,5.734823704,5.812751293,5.575365543,6.193917274,5.514032841
Algeria,DZA,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,..,..,..,..,..,..,..,..,11.02075958,..,17.76915741,17.56471634,15.98372555,17.64603424,16.46920204,16.08455467,16.11104393,17.55607224,15.61973667,16.02175903,16.54917145,16.05069733
Algeria,DZA,"Population, total",SP.POP.TOTL,30903893,31331221,31750835,32175818,32628286,33109249,33623506,34189416,34816961,35490445,36188236,36903376,37646166,38414171,39205031,40019529,40850721,41689299,42505035,43294546,44042091,44761099
Algeria,DZA,Urban population,SP.URB.TOTL,18517304,19021811,19527081,20040386,20575723,21133634,21718431,22342100,23012967,23716845,24441535,25181388,25943855,26727044,27530165,28353036,29191517,30037974,30870982,31686845,32473555,33240040
Algeria,DZA,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..,..,22.9,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,29.77,27.3,25.9,23.72,17.65,15.27,12.27,13.79,11.33,10.16,9.96,9.96,10.97,9.82,10.207,11.206,10.202,12,12.137,12.259,14.057,13.63
Algeria,DZA,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,50.641,46.921,46.026,43.872,34.204,31.24,24.396,27.937,24.43,21.78,22.161,22.803,27.872,25.459,25.664,30.376,26.227,30.292,30.745,31.119,35.748,33.843
American Samoa,ASM,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,..,..,512000000,524000000,509000000,500000000,493000000,518000000,560000000,675000000,573000000,570000000,640000000,638000000,643000000,673000000,671000000,612000000,639000000,647000000,721000000,750000000
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,0.965517241,0.409836066,-0.408163265,-4.098360656,1.851851852,-2.657342657,-4.166666667,0.299850075,0,-4.334828102,-2.5,1.762820513,3.149606299,-1.679389313,-6.98757764,2.671118531,-0.487804878,4.411764706,-0.782472613
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,8972.696365,9197.661968,8958.428667,8831.26976,8745.166211,9231.372409,10030.80891,12156.02939,10375.17201,10383.45933,11745.48992,11813.5022,12026.33449,12727.41027,12843.33429,11863.68395,12552.05469,12886.13595,14489.25866,15236.16049
American Samoa,ASM,GNI (current US$),NY.GNP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..,101.171875,97.90076336,90.37328094,99.6,100.4056795,97.49034749,114.4642857,78.51851852,63.52530541,58.77192982,75.46875,71.78683386,66.718507,63.59583952,63.93442623,59.1503268,68.23161189,61.66924266,59.22330097,44.26666667
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,94.93229039,95.18596459,95.43963879,95.69331299,95.9469872,96.2006614,96.4543356,96.7080098,96.961684,97.2153582,97.4690324,97.7227066,97.97638081,98.23005501,98.48372921,98.73740341,98.99107761,99.24475181,99.24475181,99.24475181,99.24475181,99.24475181
American Samoa,ASM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"School enrollment, primary (% gross)",SE.PRM.ENRR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"School enrollment, primary (% net)",SE.PRM.NENR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"School enrollment, secondary (% net)",SE.SEC.NENR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,14.7170496,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Population, total",SP.POP.TOTL,56855,57053,57062,56971,56818,56617,56374,56113,55828,55528,55228,54895,54489,54006,53466,52878,52245,51586,50908,50209,49761,49225
American Samoa,ASM,Urban population,SP.URB.TOTL,50366,50487,50439,50304,50112,49880,49609,49323,49016,48696,48376,48034,47634,47173,46669,46130,45557,44968,44368,43756,43368,42909
American Samoa,ASM,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,1432606189,1548265808,1764279824,2366941809,2900245324,3161084091,3459337987,3957625367,4102319399,3688976341,3449925739,3629133574,3188652765,3193512950,3271685597,2789881259,2896610480,3000162081,3218419897,3155149348,2891001149,3324647529
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.528362361,8.119357722,4.546362214,8.694203716,8.135676338,5.397795985,4.808688699,1.553188141,-5.559186369,-5.302846543,-1.974958,-0.008069753,-4.974443719,-3.547596515,2.504465521,1.434140395,3.70967807,0.34607189,1.58876549,2.015547638,-11.18393994,8.28677879
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,21810.24874,23511.29515,26528.13016,34063.5784,39021.12781,40829.80188,43467.21099,48336.22833,49132.51571,43975.01837,42746.83095,46657.15612,41500.54358,42470.31612,44369.65969,38654.93472,40129.8192,40672.99433,42819.77458,41257.80458,37361.09007,42425.69968
Andorra,AND,GNI (current US$),NY.GNP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3462352923,3268595544,3576595365
Andorra,AND,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46450,42450,44720
Andorra,AND,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,6.5,6.3,6,5.8,5.6,5.3,5.1,4.9,4.7,4.4,4.3,4.1,3.9,3.7,3.5,3.4,3.2,3.1,3,2.9,2.8,2.7
Andorra,AND,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,7.6,7.2,6.8,6.5,6.2,5.9,5.6,5.4,5.1,4.8,4.6,4.4,4.1,3.9,3.8,3.6,3.4,3.2,3.1,3,2.9,2.8
